scenario,strategy,failure_rate,repeats,delivered_pct_mean,delivered_pct_sd,dead_mean,retries_per_100_mean,provider_calls_per_delivered,latency_p50_s,latency_p95_s,latency_p99_s
steady,decorrelated,0.1,3,100.0,0.0,0.0,13.7,1.137,0.517,2.539,4.187
steady,decorrelated,0.3,3,100.0,0.0,0.0,39.3,1.393,0.367,5.882,10.757
steady,decorrelated,0.5,3,97.0,0.0,3.0,84.0,1.866,0.343,9.927,16.877
steady,equal_jitter,0.1,3,100.0,0.0,0.0,9.0,1.09,0.785,1.967,2.898
steady,equal_jitter,0.3,3,100.0,0.0,0.0,39.3,1.393,0.659,2.841,10.112
steady,equal_jitter,0.5,3,97.67,1.25,2.33,87.7,1.898,0.335,5.736,12.077
steady,exp,0.1,3,100.0,0.0,0.0,16.3,1.163,0.303,1.389,3.372
steady,exp,0.3,3,100.0,0.0,0.0,40.0,1.4,0.504,3.608,7.473
steady,exp,0.5,3,97.33,1.25,2.67,101.7,2.045,1.159,11.072,15.574
steady,fixed,0.1,3,100.0,0.0,0.0,11.0,1.11,0.362,1.458,1.588
steady,fixed,0.3,3,100.0,0.0,0.0,44.0,1.44,0.607,2.501,3.825
steady,fixed,0.5,3,96.0,3.56,4.0,103.7,2.087,0.664,3.749,4.832
steady,full_jitter,0.1,3,100.0,0.0,0.0,8.0,1.08,0.257,0.599,1.092
steady,full_jitter,0.3,3,99.67,0.47,0.33,39.3,1.395,0.398,1.624,2.688
steady,full_jitter,0.5,3,98.0,0.0,2.0,83.3,1.85,0.337,3.892,6.326
steady,none,0.1,3,100.0,0.0,0.0,13.0,1.13,0.554,0.911,0.937
steady,none,0.3,3,100.0,0.0,0.0,50.7,1.507,0.393,0.617,0.644
steady,none,0.5,3,98.0,0.82,2.0,97.3,1.993,0.522,0.828,0.846
outage60s,decorrelated,,3,73.0,1.41,27.0,620.0,,38.539,46.745,47.665
outage60s,equal_jitter,,3,100.0,0.0,0.0,638.3,,38.428,46.231,47.405
outage60s,exp,,3,100.0,0.0,0.0,600.0,,45.934,46.345,46.464
outage60s,fixed,,3,0.0,0.0,100.0,800.0,,nan,nan,nan
outage60s,full_jitter,,3,32.0,4.9,68.0,762.3,,37.266,44.334,45.964
outage60s,none,,3,0.0,0.0,100.0,800.0,,nan,nan,nan
